g1;codkon;codvuz;z2;g7;g5;g6;g8;g9;g10;g11;g2;g21;g22;g23;g24
 72;02;    97;;87.19.81;560000;Разработка теоретических основ и методик физико-химического анализа и контроля чистоты водных ресурсов предгорной местности;Федунец Н.И.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 16;03;    38;;67.09.43;700000;Плитные материалы на основе продуктов этерификации древесины;Хозяев И.А.;заведующий кафедрой;доцент;кандидат химических наук;0;0;0;0;0
 10;03;    93;;66.15;400000;Разработка рекомендаций проведения несплошных рубок на основе технологий непрерывного лесопользования;Коллеров М.Ю.;доцент;;кандидат технических наук;0;0;0;0;0
  5;03;    13;;68.47;400000;Использование, охрана, воспроизводство и обогащение генетических ресурсов дубрав Среднего Поволжья;Костров А.В.;заведующий кафедрой;профессор;доктор сельскохоз;0;0;0;0;0
 11;03;    38;;68.47;400000;Разработка теоретической базы автоматизации технологических расчетов в САПР, оперативном планировании и организационно-экономическом управлении процессами лесопромышленного производства;Дьяченко Г.Н.;декан;профессор;доктор технических наук;0;0;0;0;0
 13;03;    51;;66.15;600000;Разработка технологии рубок ухода с обоснованием возможныъ способов утилизации заготовляемой древесины на основе изучения ее товарной структуры;Сараев В.В.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 14;03;    70;;66.35.43;500000;Компьютеризация многокритериального управления процессом горячего прессования древесностружечных плит;Выродов И.П.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 26;03;    51;;66.29;500000;Технологические основы многоцелевого раскроя круглых лесоматериалов;Васильев О.В.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
  3;03;     6;;68.47;350000;Использование микроорганизмов в повышении устойчивости сеянцев хвойных к полеганию;Циркунов Ю.М.;доцент;доцент;кандидат биологических наук;0;0;0;0;0
 28;03;    72;;66.45.01;700000;Развитие теории эксплуатационной эффективности бумагоделательного оборудования и организация его ремонта (на примере бумагоделательных машин);Созутов А.И.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 15;03;    36;;66.45;500000;Прогнозирование трещиностойкости бумаги и картона;Аниконов Д.С.;заведующий кафедрой;профессор;кандидат технических наук;0;0;0;0;0
 32;04;    57;;44.09.29;500000;Разработка методов для оценки эффективности использования энергии и резервов энергосбережения в процессах промышленности и коммунально-бытовой сферы;Арсланов М.М.;;;;0;0;0;0;0
 78;04;     2;;44.31.31;600000;Разработка теоретических основ, технологии, аппаратуры и режимов фракционирования золошлаковых отходов ТЭС с целью повышения степени и эффективности их полезного использования;Миронов В.Л.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 33;04;     7;;44.09.29;700000;Расчетно-аналитический метод создания энергетических и экологических оптимальных промышленных аппаратов и систем;Хабибуллин Б.Н.;;;;0;0;0;0;0
 87;04;    78;;44.31.31;700000;Разработка и совершенствование устройствдля экологическичистого сжигания на ТЭС канско-ачинских углей;Титов В.С.;старший преподаватель;;кандидат технических наук;0;0;0;0;0
 89;04;    93;;44.01.75;600000;Моделирование рабочего процесса испарительного охлаждения газовых потоков в каналах тепловых электроустановок;Мордехай В.М.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 92;04;    51;;44.29.37;400000;"""ТЕОРЕТИЧЕСКИЕ И ЭКСПЕРИМЕНТАЛЬНЫЕ ИССЛЕДОВАНИЯ ПОМЕХОУСТОЙЧИВОСТИ УСТРОЙСТВ ПРОТИВОАВАРИЙНОЙ ЗА-ЩИТЫ, АВТОМАТИКИ И ИЗМЕРЕНИЙ НА ИНТЕГРАЛЬНЫХ МИКРО-СХЕМАХ""";Изместьева Л.Р.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 95;04;    93;;44.29.29,44.29.31;700000;"""Разработка методологии решения задач структурного синтеза и структурно-параметрической оптимизации алгоритмов управления сложными ЭЭС на основе концепции псевдожелаемых математических моделей""";Шишмарев В.Ю.;профессор;профессор;доктор технических наук;0;0;0;0;0
 99;04;    93;;44.29.33;700000;Исследование и разработка магнитотранзисторного преобразователя тока в напряжение (цифровой код) для опто-электронных трансформаторов тока класса 110-1150 кВ;Чуреев Е.Г.;доцент;доцент;кандидат технических наук;0;0;0;0;0
102;04;    53;;44.29.29;600000;Оптимизационные исследования человеко-машинных систем для подготовки персонала объектов электроэнергетических систем;Репецкий О.В.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
