g1;codkon;codvuz;z2;g7;g5;g6;g8;g9;g10;g11;g2;g21;g22;g23;g24
  7;09;    80;;55.57,55.57.01;600000;Теоретические основы вибродиагностики как элемента изготовления ротационных узлов сельскохозяйственных машин.;Селиванов В.Н.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 23;09;     8;;55.63.01;600000;Теоретические основы создания вибрационного и волнового смесительно-прессующего оборудования для пищевой промышленности;Рубанов В.Г.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 30;09;    92;;55.63.01;700000;Теоретические основы создания высокопроизводительного лазерного оборудования для контроля технологических процессов в молочной промышленности;Шалашилин В.И.;доцент;старший научный сотрудник;кандидат технических наук;0;0;0;0;0
 22;09;    21;;55.63.01;400000;Теория и практика продуктов лечебно-профилактического и специального назначения на основе рационального использования вторичного сырья мясной и прицеперерабатывающей промышленности;Львович Я.Е.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 14;09;    97;;55.57,55.57.39;500000;Математическое моделиpование пpомышленной технологии консеpвации зеpна в потоке паpогазовой сpеды;Анпилогов Ю.Г.;профессор;профессор;доктор химических наук;0;0;0;0;0
 27;09;    78;;55.63.01;600000;Новые подходы к проблеме контроля качества продуктов масложировой промышленности на основе электрометрических методов анализа;Полунин В.М.;заведующий кафедрой;профессор;доктор химических наук;0;0;0;0;0
 15;09;    92;;55.57,55.57.41;700000;Расширение функциональных и эксплуатационных возможностей погрузочных и транспортных средств применяемых в сельском хозяйстве;Тихонов В.А.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 31;09;    18;;55.63.01;600000;Исследование процесса теплообмена при СВЧ-обработке пищевых продуктов и разработка методики расчета температурно-временных характеристик;Овсянников В.Д.;доцент;доцент;доктор технических наук;0;0;0;0;0
 21;09;    60;;55.63.01;700000;Многофункциональные многопрофильные электромеханические пpеобpазователи для пищевой пpомышленности;Фунтиков В.А.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 10;10;    10;;27.33;600000;Исследование асимптотических свойст решений интегральных уравнений и неравенств с отклоняющимся аргументом;Мазаник А.В.;ассистент;;кандидат физико-математических наук;0;0;0;0;0
  3;10;    71;;27.47;250000;Семантическое программирование и сигма-машина;Громовых Т.И.;доцент;доцент;кандидат физико-математических наук;0;0;0;0;0
 17;10;    10;;27.17;500000;Решетки квазимногообразий групп и решеточно упорядоченных групп;Даниленко Л.В.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
 32;10;    89;;27.03;600000;Иерархии REA- и n-рекурсивно перечислимых степеней. Структурная теория;Малютин А.Ф.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
 41;10;    33;;27.47;600000;Кубатурные формулы для периодических функций;Назаралиев М.А.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
 21;10;    70;;27.31,27.35;500000;Весовые функциональные пpостpанства и неклассические уpавнения математической физики;Гайтов Б.Х.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
 19;10;     2;;27.17.31,27.19.17;400000;Теория размерности малых категорий и упорядоченных множеств;Кайгородова Н.З.;доцент;;кандидат физико-математических наук;0;0;0;0;0
 47;10;    51;;27.45.17;600000;Исследование векторных задач на графах. Разрешимость, сложность алгоритмы;Сизых А.И.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
 40;10;    55;;27.35.47;400000;Исследования по теории и приложениям метода Монте-Карло в моделях переноса излучений;Каримов А.Х.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
 13;10;    69;;27.03.19;700000;нестандартные логики и их приложения к компьютер сайенс;Титунин А.А.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
  7;10;    38;;27.31;700000;"Исследование разрешимости ""в целом"" начально-краевых задач для уравнений Навье-Стокса сжимаемой вязкой жидкости";Фокин В.А.;доцент;доцент;кандидат физико-математических наук;0;0;0;0;0
 35;10;    96;;27.47;400000;Метод обобщенных характеристических функций в задачах анализа нелинейных стохастических систем;Кудрин В.А.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
  4;10;    38;;27.17.33;700000;Экзотические структуры Ходжа и l-адические представления;Спиченков В.В.;профессор;профессор;доктор физико-математических наук;0;0;0;0;0
 26;10;    93;;27.31;500000;решение обратных задач математической физики методами оптимального управления;Галкин В.И.;декан;профессор;доктор физико-математических наук;0;0;0;0;0
 49;10;    94;;27.31;500000;Исследование качественных свойств решений эллиптических и параболических задач;Алехин В.П.;;профессор;доктор физико-математических наук;0;0;0;0;0
 44;10;    93;;27.35;600000;Исследование вариационных неравенств, моделирующих динамическое деформирование упрочняющихся упругопластических тел;Надежин А.М.;доцент;старший научный сотрудник;кандидат физико-математических наук;0;0;0;0;0
 28;10;    94;;27.17;700000;Группы с конечными элементами и связанные с ними алгебры;Таратынов О.В.;доцент;доцент;кандидат физико-математических наук;0;0;0;0;0
 15;10;    93;;27.35;400000;Проблема различимости объектов в рентгеновской томографии;Ковалев Ф.И.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
 30;10;    93;;27.31;600000;Корректность и аппроксимация обратных задач для уравнений в частных производных;Могильная Т.Ю.;декан;профессор;доктор физико-математических наук;0;0;0;0;0
 75;11;     7;;47.45;400000;Разработка принципов построения и алгоритмов расчета нового класса совмещенных в одном раскрыве многочастотных многодиапазонных антенных решеток;Кузяхметов Г.Г.;профессор;профессор;доктор технических наук;0;0;0;0;0
  1;11;    18;;47.03,47.13.05;200000;Физика переходных процессов в мощных высоковольтных биполярных транзисторах с изолированным затвором ( БТИЗ );Иванов Б.К.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 87;11;    57;;47.63;400000;Разработка основ теории, принципов построения и алгоритмического обеспечения изделий радиоэлектронной аппаратуры на основе приборов с зарядовой связью;Коновалов А.И.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 48;11;     6;;47.09.33;700000;Исследование свойств многослойных структур на основе сверхтонких углеродных пленок;Фрадков А.Л.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 52;11;    13;;47.09.29;600000;Разработка и исследование методики контроля напряженно-деформированного состояния материалов чувствительных элементов с помощью голографической интерферометрии;Рябов Р.А.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 66;11;    80;;47.45;400000;РАЗРАБОТКА МЕТОДА ПРОЕКТИРОВАНИЯ АНТЕНН С УЧЕТОМ УСЛОВИЙ ИХ РАЗМЕЩЕНИЯ;Денисов П.И.;профессор;доцент;доктор технических наук;0;0;0;0;0
 14;11;    20;;47.03;600000;Развитие физико-математической модели БИСПИН-прибора;Петровский В.С.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 61;11;    92;;47.29;700000;Селекция волн в псевдопериодических волноводах и замедляющих системах;Сосулин Ю.Г.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
 12;11;    92;;47.03,47.03.05;400000;Разработка научных основ обработки хрупких материалов электроники и радиотехники лучом лазера;Захаров С.И.;доцент;;кандидат технических наук;0;0;0;0;0
 39;11;    55;;47.09.29;375000;"""Paзpaбoткa нoвoй кинeтичecкoй мoдeли тexнoлoгии диффузиoннoгo нacыщeния киcлopoдoм выcoкoтeмпepaтуpныx cвepxпpoвoдящиx мaтepиaлoв типa 123""";Ахмеров А.Ф.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 50;11;    82;;47.09.29,47.09.31;400000;Релаксационная поляризация и электретный эффект в твердых диэлектриках;Иванов В.А.;заведующий кафедрой;доцент;кандидат физико-математических наук;0;0;0;0;0
 55;11;    35;;47.09.33;600000;Исследование процесса легирования полупроводниковых материалов под действием релятивистских электронных пучков;Полтавцев О.В.;заведующий кафедрой;доцент;доктор физико-математических наук;0;0;0;0;0
 37;11;    53;;47.09.31;700000;Кинетика и механизм процессов формирования многокомпонентных диэлектрических слоев термическим окислением GaAs и InP под воздействием соединений-активаторов;Тимофеева С.С.;профессор;профессор;доктор химических наук;0;0;0;0;0
 53;11;   100;;47.09;450000;Развитие среды имитационного (Монте-Карло) моделирования переноса излучений и сопутствующего их воздействия на чувствительные и конструкционные материалы электронной техники;Попов В.К.;доцент;старший научный сотрудник;кандидат физико-математических наук;0;0;0;0;0
 20;11;    23;;47.01;500000;Разработка теоретических и тенологических основ создания микроэлектронных резонаторова с заданными физико-механическими свойствами;Артюнин А.И.;профессор;профессор;доктор технических наук;0;0;0;0;0
 84;11;    42;;47.05.05,47;600000;"Электро-тепловое проектирование мощных ""интеллектуальных"" интегральных микросхем";Свечина Н.Н.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 71;11;    76;;47.39;600000;Исследование, разработка и создание высокоэффективных термоэлектрических полупроводниковых систем для теплоотвода и термостабилизации импульсных источников с высокими тепловыделениями.;Раскин В.Г.;заведующий кафедрой;академик;доктор технических наук;0;0;0;0;0
 18;12;    93;;52.13.17;500000;Создание природосберегающих технологий дражной разработки россыпей;Васильев В.А.;профессор;профессор;доктор технических наук;0;0;0;0;0
 16;12;     2;;52.13.15,52.13.17;700000;Разработка технологий добычи угля модульного типа применительно к горно-геологическим условиям залегания крутых пластов;Чемерис М.М.;старший научный сотрудник;старший научный сотрудник;кандидат технических наук;0;0;0;0;0
 35;12;    92;;52.13.25;600000;Геомеханическое обеспечение адаптивной техно-логии отpаботки соляных местоpождений камеpно-столбовыми сис-темами;Семенов В.В.;профессор;профессор;доктор технических наук;0;0;0;0;0
 10;12;     1;;52.13.15;600000;Буроштрековый способ подземной разработки угольных пластов;Никоноров Ю.Г.;профессор;профессор;доктор технических наук;0;0;0;0;0
  3;12;    51;;52.45.03;300000;Обоснование и создание малооперационной ресурсосберегающей глубокой переработки вольфрамового концентрата в целевой продукт;Манцивода А.В.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 47;12;    63;;52.01.84;600000;Исследование влияния различных нормативных погрешностей и допущений на безопасность и экономичность систем электрснабжения угольных шахт;Перепелица В.А.;ректор;профессор;доктор технических наук;0;0;0;0;0
 41;12;    74;;52.13.27;600000;Обоснование,выбор параметров и разработка агрегированных инструментов исполнительных органов буровых станков для сложных горно-геологических условий.;Носков М.В.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 43;12;   100;;52.13.27;500000;Обоснование способов повышения управляемости очистных автоматизированных комплексов и агрегатов и разработка средств направленного их передвижения по пласту полезного ископаемого;Бондаренко Г.Г.;профессор;профессор;доктор технических наук;0;0;0;0;0
 19;12;    88;;52.13.15,52.13.17;400000;Обоснование и разработка новой технологии добычи каменных блоков, основанной на комбинированном расколе массива горных пород с использованием мягкого взрывания и невзрывных разрушающих средств;Леончик Б.И.;проректор;профессор;доктор технических наук;0;0;0;0;0
  4;12;    93;;52.45.03;400000;Комплекс аппаратов для извлечения и концентрации золота, тяжелых металлов, минералов;Ильин А.А.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 36;12;    77;;52.13;500000;Прогнозирование опасных динамических явлений при разработке угольных месторождений Ерунаковского геолого-экономического района Кузнецкого бассейна.;Воронова Л.И.;профессор;профессор;доктор технических наук;0;0;0;0;0
  8;12;    38;;52.45.03;700000;Разработка теоретических основ межфазовых взаимодействий флотационной системы жидкость-твердое-газ в акустическом поле;Шугай К.К.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 26;12;     4;;52;700000;Разработка;Турышев В.Г.;;;;0;0;0;0;0
 45;12;    71;;52.01.83;600000;Повышение надежности и качества функционирования экскаваторов на карьерах Севера за счет рациональной организации ремонта техники и снижения вероятности хрупких разрушений базовых узлов машин;Садовский В.М.;декан;профессор;доктор технических наук;0;0;0;0;0
 17;12;     2;;52.13.15;500000;Разработка теории переноса динамически активных газов в шахтах с целью создания способов и средств повышения аэрологической безопасности горных работ;Будкин А.И.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
  5;12;    82;;52.45.03;700000;Физико-химические основы создания ресурсосберегающей  технологии флотации труднообогатимых графитовых руд;Яковлев А.С.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 13;12;    71;;52.35.29;600000;Обоснование и разработка технологии извлечения метана из вентиляционных струй шахт с использованием сорбентов;Рыбаков В.В.;ведущий научный сотрудник;старший научный сотрудник;кандидат технических наук;0;0;0;0;0
  9;12;    13;;52.13.15;500000;Создание новых технологий и систем подземной разработки маломощных золоторудных полого и наклоннозалегающих месторождений с целью обеспечения их эффективной эксплуатации;Бутковский О.Я.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 48;12;   100;;52.01.85;600000;Обоснования и разработки технологических схем и технических средств реализации высоких эксплуатационных показателей работы очистного, проходческого и бурового оборудования;Мироненко Л.С.;профессор;доцент;доктор технических наук;0;0;0;0;0
 21;12;    18;;52;500000;Разработка;Глушко В.П.;;;;0;0;0;0;0
  1;13;    18;;38.33.15,17;225000;Петролого-геохимическая модель формирования главных типов гранитов (на примере Урала);Попцов В.С.;заведующий кафедрой;профессор;доктор геолого-минералогич. наук;0;0;0;0;0
 34;13;    93;;38.57.23;450000;Влияние магнитной прницаемости на результаты электро-магнитных зондирований;Мамонов А.М.;профессор;доцент;кандидат технических наук;0;0;0;0;0
  4;13;    73;;38.57.17;375000;Экономическая оптимизация разведки рудных месторождений.;Верхатуров М.В.;профессор;доцент;кандидат геолого-минералогич. наук;0;0;0;0;0
 67;13;    93;;38.59.15;450000;Исследование буровых процессов с целью разработки качественной и ресурсосберегающей технологии для их реализации;Михайлин Ю.А.;профессор;профессор;доктор технических наук;0;0;0;0;0
 48;13;    76;;38.33.17;450000;Модель для расчета рудоотложения из смешанного флюида:учет изменения диэлектрической проницаемости;Маметьев Л.Е.;заведующий кафедрой;доцент;доктор химических наук;0;0;0;0;0
 47;13;     9;;38.37.21;400000;Петрология и геодинамика метаморфических поясов юга Сибирской платформы;Иванов А.В.;декан;профессор;кандидат геолого-минералогич. наук;0;0;0;0;0
 23;13;    92;;38.17.91;300000;Типизация и ранжирование новейших структур внутриконтинентальных орогенных областей (на примере Урала);Квасников Л.А.;доцент;доцент;кандидат геолого-минералогич. наук;0;0;0;0;0
 10;13;    76;;38.57.15,38.57.17;400000;Исследование устойчивости фундаментальных свойств структурной организации рудогенных систем как основы эффективной технологии многоуровневого прогнозирования оруденения;Егошин В.В.;заведующий кафедрой;профессор;доктор геолого-минералогич. наук;0;0;0;0;0
 14;13;   100;;38.57.15;400000;Геодинамическая модель нефтегазообразования в литосфере;Лысенко А.П.;заведующий кафедрой;профессор;доктор геолого-минералогич. наук;0;0;0;0;0
 35;13;    97;;38.57.25;375000;Разработка петрофизической модели магнитной восприимчивости поровых и порово-трещинных коллекторов;Баклашов И.В.;доцент;доцент;кандидат геолого-минералогич. наук;0;0;0;0;0
 22;13;    22;;38.17.15;375000;Геодинамические обстановки возникновения и условия развития раннедокембрийских зеленокаменных поясов;Антипова Л.В.;доцент;доцент;кандидат геолого-минералогич. наук;0;0;0;0;0
 59;13;     2;;38.63.17,38.63.51;400000;Типизация оползневых склонов и прогноз их устойчивости на основе анализа на основе анализа напряженного состояния (на примере Волгограда);Куприянов А.Н.;заведующий кафедрой;профессор;доктор геолого-минералогич. наук;0;0;0;0;0
 58;13;    55;;38.61;400000;Исследование региональных закономерностей изменения гидрогеохимиечких структур в экологически напряженных районах Восточной Сибири;Катаев Ю.П.;доцент;доцент;кандидат геолого-минералогич. наук;0;0;0;0;0
  7;13;     2;;38.49.19;375000;Геолого-генетическая модель формирования эндогенных уран-золоторудных месторождений;Вайгант В.А.;заведующий кафедрой;профессор;доктор геолого-минералогич. наук;0;0;0;0;0
 11;13;    20;;38.49;400000;Золотоносность кор выветривания и отложений палеокарста Енисейского кряжа;Курьянов В.К.;заведующий кафедрой;профессор;доктор геолого-минералогич. наук;0;0;0;0;0
 20;13;   100;;38.29.21;300000;Точка глобального стратотипа границы перми и триаса в континентальных сериях;Карцев Е.А.;профессор;профессор;доктор геолого-минералогич. наук;0;0;0;0;0
 72;13;    57;;38.15.17,38.29;400000;Стратиграфия кайнозойских отложений Сибири по фауне мелких млекопитающих;Захаров А.В.;профессор;доцент;доктор геолого-минералогич. наук;0;0;0;0;0
 61;13;   100;;38.59.15,38.59;700000;Разработка научных основ, технологии и технических средств управления направлением и кривизной скважин с приложением к породоразрушающему инструменту внецентренных ударных импульсов.;Солнцев В.А.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 49;13;    93;;38.37.17;400000;Акустические исследования неоднородности геостатических давлений;Кондратьев В.А.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
 28;13;    45;;38.57.23,38.57.25;500000;Экспериментальные измерения вертикального градиента силы тяжести с целью разработки;Абрамов И.В.;заведующий кафедрой;профессор;доктор геолого-минералогич. наук;0;0;0;0;0
 22;14;    90;;59.14.29;320000;Методы, алгоритмы и устройства оценки структурной радиолокационной информации;Корсаков А.К.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 92;14;    66;;59.13.21;400000;Исследование воздействия лазерного излучения на процессы массопереноса веществ в пористых и биологических структурах и разработка оборудования и технологии интенсификации данных процессов;Вихарев А.П.;заведующий лабораторией;;;0;0;0;0;0
 95;14;    11;;59.01.85;560000;Разработка принципов построения гибких производственных систем сборки электронных блоков в приборостроении;Суслов А.Г.;профессор;доцент;кандидат технических наук;0;0;0;0;0
 24;14;    38;;59.14.29;560000;Теория систем с накопителями энергии и ее применение в системах управления парашютами;Тугенгольд А.К.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 61;14;    53;;59.13.19,59.14.29;480000;Математическое моделирование сердечно-сосудистой системы в экстремальных ситуациях;Нескоромных В.В.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 37;14;    55;;59.14.29,59.35;400000;Метод и автоматизированная система для биотестирования химических воздействий;Адгамов Р.И.;декан;профессор;доктор технических наук;0;0;0;0;0
 34;14;    90;;59.41;320000;Исследование закономерностей формирования дифракционного спектра для разработки метода контроля качества элементов топологии субмикрометрового диапазона;Доброхотова И.А.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 32;14;    53;;59.41;560000;"Экспресс-метод определения оптических констант, размеров и концентраций ""мягких"" поглощающих частиц в области полосы просветления";Степанов В.С.;проректор;профессор;доктор физико-математических наук;0;0;0;0;0
 14;14;    28;;59.14.29;400000;Использование методов искусственного интеллекта и адаптации в технической диагностике навигационных систем;Гаврилов В.П.;докторант;профессор;доктор технических наук;0;0;0;0;0
 97;14;    94;;59.14.29;560000;Исследование светогидравлического эффекта для стериализации медицинского инструмента и разработка принципов построения оборудования на этом эффекте;Скопинский В.Н.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 85;14;    79;;59.41;400000;Семейство приборов для лазерной и некогерентной фотометрии;Авдиенко К.И.;доцент;доцент;доктор физико-математических наук;0;0;0;0;0
 63;14;    92;;59.13.19,59.14.29;320000;Разpаботка методов и аппаpатуpных сpедств для вибpодиагностики функционального состояния опоpно-двигательной системы человека;Лурье С.А.;профессор;профессор;кандидат технических наук;0;0;0;0;0
 72;14;    53;;59.13.19;480000;Разработка метода функциональной диагностики дыхательной системы человека с использованием жидких кристаллов;Покатилов А.Г.;старший научный сотрудник;старший научный сотрудник;кандидат физико-математических наук;0;0;0;0;0
 93;14;    51;;59.01.81,59.13.21;320000;Многофункциональная диагностика интегрированного производства деталей приборов;Кравцова Л.С.;проректор;профессор;доктор технических наук;0;0;0;0;0
 94;14;    38;;59.13.19;480000;Научные основы создания прогрессивных и высокоэффективных технологических методов изготовления резьбовых соединений в приборостроении;Рыжкин А.А.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 45;14;    53;;59.14.29,59.35;480000;Экспрессный оптический мониторинг водных экосистем;Махно Д.Е.;старший научный сотрудник;старший научный сотрудник;кандидат технических наук;0;0;0;0;0
101;14;    55;;59.13.21;560000;Разработка системы комплексной диагностики гладких поверхностей и малоразмерных композиций для оптики и микроэлектроники;Ференц В.А.;профессор;профессор;;0;0;0;0;0
102;14;    78;;59.13.13,59.13.15;320000;Разработка научных основ модификации поверхности прецизионных деталей приборов концентрированными потоками высоких энергий;Захаров И.С.;доцент;доцент;кандидат физико-математических наук;0;0;0;0;0
 58;14;    53;;59.29.71;560000;Математическое моделирование и структурный синтез аналоговых и цифровых адаптивных фильтров инфранизкочастотных электрических сигналов;Тугарина М.А.;профессор;профессор;доктор технических наук;0;0;0;0;0
 69;14;    16;;59.13.19,59.14.29;560000;Разработка методик диагностики и алгоритмов коррекции функционального состояния желудочно-кишечного тракта у больных в ранние послеоперационные сроки;Трыков Ю.П.;заведующий кафедрой;профессор;кандидат технических наук;0;0;0;0;0
 20;14;    90;;59.14.29;320000;Разработка научных основ синтеза баз знаний и экспериментальных систем при построении микропроцессорных систем комплексной обработки информации;Лозовский В.Р.;профессор;доцент;доктор технических наук;0;0;0;0;0
 17;14;    97;;59.14.29;560000;Разработка основ теории и методов проектирования информационно-управляющих систем обеспечения безопасности полета в особых ситуациях;Ушаков К.З.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 10;14;    53;;59.14.29;560000;Формирование облика системы принятия решений нейросетевого типа по управлению подвижными обьектами в условиях конфликтных ситуаций;Филонюк В.А.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 35;15;    90;;53.03.07;500000;Исследование структуры бинарных оксид-но-фторидных расплавов комплексным методом, объединяющим квантовохимический анализ и молекулярно-статистическое моде-лирование методом Монте-Карло;Билибин С.И.;проректор;профессор;доктор химических наук;0;0;0;0;0
 29;15;    18;;53.01.91;300000;Использование железо- и кремнеземсодержащих отходов промышленности для изготовления материалов строительного назначения;Антонов Ю.В.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
  6;15;    93;;53.03.11;500000;"""Кинетика окислительных процессов при кристаллизации стали""";Бабаевский П.Г.;заведующий кафедрой;доцент;кандидат технических наук;0;0;0;0;0
 65;15;    18;;53.45.29;600000;Разработка математической модели процесса калибрования изделий из автоматной стали с учетом неоднородности распределения механических свойств;Грабович М.Ю.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 34;15;    93;;53.03.11;400000;Термодинамика и кинетика процессов взаимодействия примесей цветных металлов в железоуглероодистых расплавах с футеровкой агрегата;Беневоленский С.Б.;профессор;профессор;доктор технических наук;0;0;0;0;0
 36;15;    57;;53.03.05,53.03.07;240000;Исследование свойств и пpоцессов полимеpизации оксидных pасплавов методами компьютеpного моделиpования;Клоков В.В.;заведующий кафедрой;доцент;кандидат физико-математических наук;0;0;0;0;0
 55;15;    92;;53.03.11;720000;Кинетические закономерности восстановления цинка при разных способах переработки цинк-содержащих оксидных материалов;Машуков Е.В.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 74;15;    55;;55.23;400000;Разработка комплексных технологий производства деталей машин и приборов из некомпактных материалов;Куршев В.Н.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 50;15;     1;;53.01.91;560000;Разработка теории и практики низкосортного вторичного сырья сплавов цветных металлов;Чагин В.А.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 62;15;    57;;53.37.33;480000;Нетрадиционные аппараты для обогощения золота и алмазов;Пудовик А.Н.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
  3;15;    35;;53.03.09;180000;Анализ металлургических процессов, протекающих при получении многослойных отливок с использованием СВС-смесей;Попович А.А.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 17;15;    55;;53.03.09;560000;Влияние процессов высокоскоростного затвердевания на свойства дискретных и непрерывных волокон, получаемых из расплава.;Солдаткин В.М.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 58;15;    55;;53.37.15;480000;Научные основы изыскания флотационных реагентов.;Насыров И.К.;;;;0;0;0;0;0
 48;15;    90;;53.03.09;300000;Разработка моделей модифицирования железа и стали РЗМ на основе расчетов энергии высокотемпературного межчастичного взаимодействия в расплавах;Акинфиев Н.Н.;профессор;доцент;кандидат технических наук;0;0;0;0;0
 56;15;    13;;53.31.15;320000;Оптимезация гранулометрического состава агломерата для доменных печей;Кухтин Б.А.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 64;15;    93;;53.45.03,53.45.29;600000;Создание теоретических и технологических основ асимметричного волочения.;Баранов П.Н.;заведующий кафедрой;доцент;доктор технических наук;0;0;0;0;0
 59;15;    15;;53.37,53.37.15;600000;Разработка научных основ регулирования селективности флотации минералов и руд цветных металлов по ионному составу пульпы.;Синяков В.Н.;профессор;профессор;доктор технических наук;0;0;0;0;0
 76;15;    91;;53.39.03;700000;Установление закономерностей формирования ультрамелкозернистой структуры металлов методами порошковой металлургии;Тюганова М.А.;профессор;профессор;доктор физико-математических наук;0;0;0;0;0
 20;15;    93;;53.01.94,87.53.13;420000;Химико-экологические и технологические методы рекурперации и утилизации вредных отходов литейного производства;Черняев А.В.;заведующий кафедрой;доцент;кандидат химических наук;0;0;0;0;0
 11;15;    73;;53.01.91;420000;Разработка технологии утилизации металлургических шлаков и зол ТЭЦ путем их расплавления и поризации;Цыкин Р.А.;профессор;доцент;кандидат технических наук;0;0;0;0;0
 78;15;     6;;55.23.09,55.23.13;700000;Теоретические и технологические аспекты формирования изделий из порошковых композиционных материалов для машиностроения и металлургии при воздействии внешних силовых факторов;Федоров Д.Л.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 33;15;    91;;53.03.09;480000;Исследлвание  закономернстей формирования структуры в водосодержащих сплавах на основе интерметаллида титана в процессе изгготовления сварных листовых соединений с использованием термоводородной обраб;Охотин А.С.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 37;15;    18;;53.03.13,53.03.15;360000;Разработка нового, экологически чистого способа получения алюминия;Миттова И.Я.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
